epoch,auc,loss,lr,precision,recall,val_auc,val_loss,val_precision,val_recall
0,0.6097337007522583,0.6611935496330261,0.001,0.25,0.3636363744735718,0.4555555582046509,0.6015265583992004,0.0,0.0
1,0.6797520518302917,0.545862078666687,0.001,0.0,0.0,0.47592592239379883,0.5610973834991455,0.0,0.0
2,0.7738751173019409,0.47839707136154175,0.001,0.0,0.0,0.4888889193534851,0.5540138483047485,0.0,0.0
3,0.7378329038619995,0.4424424171447754,0.001,0.0,0.0,0.5111111402511597,0.5552998185157776,0.0,0.0
4,0.7571166753768921,0.42957639694213867,0.001,0.0,0.0,0.5259259343147278,0.5550869703292847,0.0,0.0
5,0.7656106948852539,0.4215560555458069,0.001,0.0,0.0,0.5555555820465088,0.5613598227500916,0.0,0.0
6,0.7878787517547607,0.41260072588920593,0.001,0.0,0.0,0.5888888835906982,0.5444126725196838,0.0,0.0
7,0.8154270052909851,0.40108826756477356,0.001,0.0,0.0,0.644444465637207,0.5276320576667786,0.0,0.0
8,0.8181818127632141,0.3929344713687897,0.001,0.0,0.0,0.6944444179534912,0.5061076879501343,0.0,0.0
9,0.8562901616096497,0.3792906403541565,0.001,0.0,0.0,0.7351852059364319,0.49985581636428833,0.0,0.0
10,0.8762626647949219,0.3661385178565979,0.001,0.0,0.0,0.7425925731658936,0.5065957903862,0.0,0.0
11,0.8808540105819702,0.3545786440372467,0.001,0.0,0.0,0.7796295881271362,0.45885351300239563,1.0,0.1111111119389534
12,0.8939393758773804,0.343427449464798,0.001,1.0,0.13636364042758942,0.7888888716697693,0.4480515420436859,0.5,0.1111111119389534
13,0.9040403962135315,0.3346129059791565,0.001,0.8333333134651184,0.22727273404598236,0.7851851582527161,0.48820093274116516,1.0,0.1111111119389534
14,0.8980716466903687,0.32499319314956665,0.001,0.800000011920929,0.1818181872367859,0.805555522441864,0.44179046154022217,0.5,0.1111111119389534
15,0.9228650331497192,0.30680808424949646,0.001,0.800000011920929,0.3636363744735718,0.8018518686294556,0.46944040060043335,0.5,0.1111111119389534
16,0.8994490504264832,0.31247082352638245,0.001,0.5833333134651184,0.3181818127632141,0.8037036657333374,0.49190834164619446,0.5,0.1111111119389534
17,0.9228650331497192,0.29453176259994507,0.001,0.8888888955116272,0.3636363744735718,0.8481481075286865,0.3934096693992615,0.6000000238418579,0.3333333432674408
18,0.931359052658081,0.28374189138412476,0.001,0.6470588445663452,0.5,0.835185170173645,0.41602981090545654,0.75,0.3333333432674408
19,0.9288338422775269,0.2752923369407654,0.001,0.6875,0.5,0.8574074506759644,0.39552193880081177,0.6000000238418579,0.3333333432674408
20,0.9354913234710693,0.26462921500205994,0.001,0.6666666865348816,0.5454545617103577,0.8740740418434143,0.36301079392433167,0.6000000238418579,0.3333333432674408
21,0.9341138601303101,0.25934290885925293,0.001,0.699999988079071,0.6363636255264282,0.8925925493240356,0.3267354667186737,0.7142857313156128,0.5555555820465088
22,0.939164400100708,0.2552507519721985,0.001,0.625,0.6818181872367859,0.8703703880310059,0.4188723862171173,0.6000000238418579,0.3333333432674408
23,0.9306703209877014,0.2581101953983307,0.001,0.7222222089767456,0.5909090638160706,0.8907407522201538,0.3379901349544525,0.6666666865348816,0.4444444477558136
24,0.9432966113090515,0.24373216927051544,0.001,0.6818181872367859,0.6818181872367859,0.8740741014480591,0.42455872893333435,0.6000000238418579,0.3333333432674408
25,0.9318181872367859,0.2546645402908325,0.001,0.6842105388641357,0.5909090638160706,0.8981481194496155,0.3425152897834778,0.6666666865348816,0.4444444477558136
26,0.9467400908470154,0.23492079973220825,0.001,0.7142857313156128,0.6818181872367859,0.9055555462837219,0.32767316699028015,0.7142857313156128,0.5555555820465088
